id,name,class,mass (g),mass (kg),fall,year,latitude,longitude,GeoLocation
14233,Lewis Cliff 88489,H6,4.5,0.0045,Found,1988,-84.24828,161.46054,"(-84.24828, 161.46054)"
14224,Lewis Cliff 88480,H5,4.6,0.0046,Found,1988,-84.2482,161.38706,"(-84.2482, 161.38706)"
14201,Lewis Cliff 88457,L5,4.6,0.0046,Found,1988,-84.24806,161.41293,"(-84.24806, 161.41293)"
14171,Lewis Cliff 88426,H6,4.6,0.0046,Found,1988,-84.2439,161.43669,"(-84.2439, 161.43669)"
14198,Lewis Cliff 88454,L6,4.6,0.0046,Found,1988,-84.24828,161.43777,"(-84.24828, 161.43777)"
14218,Lewis Cliff 88474,H6,4.6,0.0046,Found,1988,-84.24709,161.44378,"(-84.24709, 161.44378)"
14007,Lewis Cliff 88256,H6,4.6,0.0046,Found,1988,-84.23735,161.50437,"(-84.23735, 161.50437)"
1173,Allan Hills 88129,L/LL3,4.68,0.00468,Found,1988,-76.69458,159.28725,"(-76.69458, 159.28725)"
14342,Lewis Cliff 88604,L6,4.7,0.0047,Found,1988,-84.26873,161.40963,"(-84.26873, 161.40963)"
14209,Lewis Cliff 88465,L6,4.7,0.0047,Found,1988,-84.24135,161.46529,"(-84.24135, 161.46529)"
1179,Allan Hills 88135,Howardite,4.75,0.00475,Found,1988,-76.69106,159.28169,"(-76.69106, 159.28169)"
23098,Ste. Croix,"Iron, IIIAB",4.8,0.0048,Found,1988,46.83667,6.49472,"(46.83667, 6.49472)"
14506,Lewis Cliff 88769,L6,4.8,0.0048,Found,1988,-84.28011,161.36336,"(-84.28011, 161.36336)"
14176,Lewis Cliff 88431,H5,4.8,0.0048,Found,1988,-84.25064,161.42843,"(-84.25064, 161.42843)"
22721,Roosevelt County 066,L5,4.9,0.0049,Found,1988,34.1,-103.48333,"(34.1, -103.48333)"
14365,Lewis Cliff 88627,H5,4.9,0.0049,Found,1988,-84.25135,161.37168,"(-84.25135, 161.37168)"
14290,Lewis Cliff 88549,H5,4.9,0.0049,Found,1988,-84.24955,161.38592,"(-84.24955, 161.38592)"
13894,Lewis Cliff 88141,H6,4.9,0.0049,Found,1988,-84.24548,161.41758,"(-84.24548, 161.41758)"
14226,Lewis Cliff 88482,H6,4.9,0.0049,Found,1988,-84.24762,161.42705,"(-84.24762, 161.42705)"
13883,Lewis Cliff 88130,H5,4.9,0.0049,Found,1988,-84.25048,161.4421,"(-84.25048, 161.4421)"
14232,Lewis Cliff 88488,H5,5,0.005,Found,1988,-84.24794,161.40963,"(-84.24794, 161.40963)"
13899,Lewis Cliff 88146,L3.6,5,0.005,Found,1988,-84.24539,161.41212,"(-84.24539, 161.41212)"
14334,Lewis Cliff 88595,H5,5,0.005,Found,1988,-84.25076,161.41866,"(-84.25076, 161.41866)"
14495,Lewis Cliff 88758,LL3.4,5,0.005,Found,1988,-84.23135,161.4647,"(-84.23135, 161.4647)"
1163,Allan Hills 88119,H7,5.06,0.00506,Found,1988,-76.69458,159.28725,"(-76.69458, 159.28725)"
14357,Lewis Cliff 88619,H5,5.1,0.0051,Found,1988,-84.26995,161.37761,"(-84.26995, 161.37761)"
14215,Lewis Cliff 88471,L6,5.1,0.0051,Found,1988,-84.24785,161.39529,"(-84.24785, 161.39529)"
13892,Lewis Cliff 88139,L6,5.1,0.0051,Found,1988,-84.27451,161.40707,"(-84.27451, 161.40707)"
13993,Lewis Cliff 88242,H6,5.1,0.0051,Found,1988,-84.23683,161.46512,"(-84.23683, 161.46512)"
1161,Allan Hills 88117,H6,5.16,0.00516,Found,1988,-76.71667,159.33333,"(-76.71667, 159.33333)"
